QID,Label,Description
Q5109847,Christian Liberal Party of Ukraine,
Q5109849,Christian Liberty Party,exclusively Christian political party in the United States
Q5109956,Christian National Union for the Reconstruction of Haiti,political party in Haiti
Q5116193,Communist Party of the Karelo-Finnish Soviet Socialist Republic,
Q5116896,Church of Hawaii,"former province of the Anglican Communion in Hawaii, and the state Church and national Church of the Kingdom of Hawaii (1862–1893)"
Q5118104,Church usher,
Q5121840,circus clown,clown performing or appearing in a circus
Q5123536,city attorney,elected position
Q5124481,Civil Force,political party in Hong Kong
Q5124691,civil servant of the People's Republic of China,
Q5137463,Co-operative Commonwealth Federation (Manitoba Section),
Q5137941,Coalition for Iraqi National Unity,
Q5148518,Colony of New Zealand,constitutional monarchy in Oceania between 1841-1907
Q5154427,Communist Party of Nepal (Marxist–Leninist),political party founded in 1998
Q5154523,Communist Workers' Party – For Peace and Socialism,registered political party in Finland
Q5158531,concert production,act of putting on a concert or a live music performance
Q5159748,Confederate States presidential election,November 1861 process electing the president of the Confederate States of America
Q5159768,Confederated Tribes of the Umatilla Indian Reservation,group of three Native American tribes in northeast Oregon
Q5160552,Congolese Union of Republicans,political party in the Republic of the Congo
Q5163060,Conservative Party,Panamanian political party
Q5163086,Conservative Party of South Carolina,political party
Q5165152,contestant,someone who takes part in a competition or a contest
Q5166233,Convention Muslim League,
Q5167661,justice,correct application of law as opposed to arbitrariness
Q5177382,Country Party,British political grouping
Q5178032,coupletist,
Q5178440,court reporter,profession
Q5179297,covert agent,an agent who works secretly
Q5183538,prefect in ancient Rome,
Q5192113,1928 Cuban presidential election,
Q5192929,Culiacancito,human settlement in Mexico
Q5192957,Culinary Specialist,
Q5196476,customer service representative,"interacts with customers to handle complaints, process orders, and provide information about an organization’s products and services"
Q5205243,DJ,song by David Bowie
Q5211890,damage controlman,profession
Q5219722,1890 Danish Folketing election,
Q5223922,1901 Darling Downs by-election,Australian federal by-election
Q5230427,member of a legislative assembly,representative of voters to a regional legislature
Q5255666,Democratic National Union Movement,Cambodian political party
Q5255688,CNMI Democratic Party,political party in the Northern Mariana Islands
Q5261028,Deputy Director of the National Security Agency,
Q5261091,Deputy assistant commissioner,rank in London's Metropolitan Police Service
Q5270498,dialect coach,
Q5270608,dialogue editor,
Q5279879,Diploma in Engineering,technical academic degree
Q5280566,director of communications,position in both the private and public sectors
Q5287527,Doctor of Social Science,
Q5307556,drill instructor,military training officer
Q5309802,drysalter,"historical dealer in a range of chemical products, including glue, varnish, dye and colourings"
Q5313560,1906 Dulwich by-election,
Q5330004,Eastern Band of Cherokee Indians,the American tribe
Q5350660,El-Infitah Movement,political party in Algeria
Q5354552,election agent,profession
Q5357713,electrical contractor,business person or firm that performs specialized construction work related to electrical systems
Q5363158,genga,animation occupation
Q5363831,1994 Elizabeth state by-election,South Australian by-election
Q5371902,harpsichordist,person who plays the harpsichord
Q5372621,Emissaries of Divine Light,
Q5374446,Empresaria Group,
Q5377889,engineering geologist,
Q5384139,Equal Rights Party,
Q5384278,1989 Equatorial Guinean presidential election,
Q5398785,,
Q5399616,Popular Socialist Union,Defunct political party in Chile
Q5415826,evangelist,Ordained post in the Latter Day Saints
Q5420718,exotic dancer,
Q5428874,faculty member,academic staff
Q5434959,2002 Fareham Borough Council election,
Q5434964,2012 Fareham Borough Council election,
Q5440576,federalist,person with a destinct political belief; the term describes several political beliefs around the world
Q5442648,2011 Feltham and Heston by-election,
Q5448184,Fijian Association Party,
Q5448582,Filipino Canadians,Canadians of Filipino descent
Q5453148,First Lady of Chile,unofficial title for the wife of the President of Chile
Q5463927,Focus NZ,
Q5473118,Forum for the National Unity of Abkhazia,
Q5484329,Ña Catita,comedy
Q5490226,,
Q5505872,Front for the Renewal of Concord,Center-left provincial political party
Q5507109,Fueguino People's Movement,Argentine political party
Q5510712,1804 and 1805 United States Senate elections,
Q5511176,1800 and 1801 United States House of Representatives elections,House elections for the 7th U.S. Congress
Q5511451,1948 United States House of Representatives elections,House elections for the 81st U.S. Congress
Q5520063,Gamers 4 Croydon,former South Australian political party (2009-10)
Q5527068,gatekeeper,person who controls access to something
Q5531654,general,highest military rank of the British Army and the Royal Marines
Q5531763,General Church of the New Jerusalem,"International church based in Bryn Athyn, Pennsylvania"
Q5532323,General authority,Member of the Ecclesiastical Hierarchy of the Church of Jesus Christ of Latter-day Saints
Q5533726,Gentleman Usher,courtier
Q5555460,Ghanaian American,ethnic group
Q5566876,"Glasgow North East by-election, 2009",
Q5567110,glass engraving,form of decorative glasswork that involves engraving a glass surface or object
Q5588439,gourmand,person who takes great pleasure in food
Q5589427,government scientist,scientist employed by a country or other jurisdiction's government
Q5590190,1974 Goyder state by-election,South Australian by-election
Q5608225,Grey Power,Australian political party
Q5612276,Gruppenkommandeur,German term
Q5616845,Guitar technician,
Q5622802,Guyanese in the United Kingdom,
Q5636368,,
Q5639762,2000 Haitian presidential election,
Q5640011,Miami-Dade County Public Schools,"public school system of Miami-Dade County, Florida, serving Miami"
Q5649335,Hanoi University of Agriculture,university
Q5684363,Hawaiʻi Republican Party,state affiliate of the Republican Party of the United States
Q5691480,Healyite Nationalist,
Q5695403,Partido de Acción Socialista,
Q5742729,Sikkimese people,"people of Sikkim, India"
Q5753365,,
Q5799405,,"dignity of the cathedral churches, charged with teaching ecclesiastical sciences"
Q5800529,Day,"unincorporated community and census-designated place in Lafayette County, Florida, United States"
Q5827476,1983 Castilian-Manchegan regional election,Regional elections
Q5827501,2003 Castilian-Leonese regional election,
Q5828193,1956 Peruvian general election,
Q5845239,,
Q5847286,,
Q5849306,,
Q5870215,Third Republic of the Philippines,
Q5881159,1929 Holland with Boston by-election,
Q5892936,Honduran Independence Party,
Q5895243,2000 Hong Kong Island by-election,
Q5895333,2000 Hong Kong legislative election,elections in Hong Kong
Q5905231,horror host,type of television presenter
Q5915994,,
Q5917263,Civitas,French far-right political group
Q5923722,United Left–Greens of the Region of Murcia,
Q5950039,Hustling,social practice
Q5963619,1989 Taiwan legislative election,
Q5968368,1992 Taiwan legislative election,election
Q5975046,Licentiate in Humanities,
Q5983472,iatrosophist,ancient title designating a professor of medicine
Q5987412,Idaho Republican Party,Idaho affiliate of the Republican Party
Q6002306,computer-generated imagery,application of computer graphics to create or contribute to images
Q6013982,Romani people in France,ethnic group that originated in Northern India
Q6016153,Independence Party,former political party in Iceland
Q6016677,Independent Irish Party,
Q6022728,1967 Indian presidential election,3th Presidential election of India
Q6022755,1992 Indian presidential election,
Q6025082,,
Q6025219,Colombia humana (centroizquierda),Colombian political party
Q6027832,Social Democratic Party,social-democratic political party in Turkey
Q6028169,industry analyst,performs primary and secondary market research within an industry
Q6038504,inspektor,
Q6042084,Insular Government of the Philippine Islands,1901–1935 US administration of the Philippines
Q6043223,Integration and Development Movement,political party in Argentina
Q6063979,Conservative People's Party (Argentina),Argentine political party
Q6064032,Partido Demócrata de Córdoba,
Q6064564,Partido de la Victoria,Argentine political party
Q6065664,2001 Ipswich by-election,
Q6071313,Irish Unionist Alliance,political party in Ireland
Q6081237,,
Q6087309,procurador en Cortes,member of the Cortes franquistas (1943-1977)
Q6094740,itinerant minister,travelling Christian evangelist
Q6127476,African Jamaican,racial or ethnic group in Jamaica with African ancestry
Q6128895,Template:Ca icon,
Q6138335,Hi Hi,single by Puffy AmiYumi
Q6156096,Castilian Popular Unity,
Q6158431,Japanese community in the United Kingdom,ethnic groupedit
Q6164623,Jatiyo Samajtantrik Dal-JSD,Bangladeshi political party
Q6184809,2009 Jersey City mayoral election,
Q6273093,1802 United Kingdom general election,first election after the union of the United Kingdom and Ireland
Q6342372,design director,
Q6348079,2011 Mendoza provincial elections,
Q6378340,Katter's Australian Party,political party in Australia
Q6379191,1969 Brazilian presidential election,
Q6379242,1974 Brazilian presidential election,
Q6392670,Kenya National Congress,political party in Kenya
Q6409989,set decorator,person in charge of the set dressing on a film
Q6415103,Kiribati Uniting Church,United Protestant Christian denomination in Kiribati
Q6416863,Kispoko,
Q6423963,Anglicanism,Christian denomination; branch of Protestant Christianity
Q6430706,critic,professional who makes a living communicating their opinions and assessments of various forms of creative work
Q6431017,2013 Nauruan parliamentary election,
Q6431801,Korean Brazilian,
Q6433349,2011 Kosovan presidential election,
Q6445252,2005 Kuomintang chairmanship election,party election in Taiwan
Q6459792,Licentiate of the Royal Academy of Music,qualification
Q6467180,Labour Party,political party in Indonesia (1998–)
Q6467444,Labour Party,minor political party in the Bahamas
Q6469753,Ladlad,Political party in the Philippines
Q6481462,Lambeth degree,academic degree
Q6498826,martyr,"person who suffers persecution and death for advocating, refusing to renounce, and/or refusing to advocate a belief or cause, usually a religious one"
Q6500733,printer,company for printed products
Q6515865,1999 Leeds Central by-election,
Q6516886,Left Liberation Front,electoral coalition in Sri Lanka
Q6540667,Liberal Federation,South Australian political party (1923-1932)
Q6540692,Liberal Movement,South Australian political party (1973-1976)
Q6540829,Liberal and Democratic Union,South Australian political party (1906-1910)
Q6541131,Liberian People's Party,political party in Liberia
Q6541342,Libertarian Party of Australia,Australian political party
Q6541387,Libertarian Party of Oklahoma,State affiliate of the Libertarian Party
Q6648391,Lithuanian National Union,
Q6672930,Białoruska Partia Niezależnych Socjalistów,organization
Q6680233,Lordship of Chios,
Q6693058,1944 Lowan state by-election,"state by-election in Victoria, Australia"
Q6694040,"Lowestoft by-election, 1934",
Q6701907,social communication,communication sciences major
Q6724971,2005 Macquarie Fields state by-election,"election result for Macquarie Fields, New South Wales, Australia"
Q6733150,Mahant,religious superior of a Sikh tenple
Q6733389,Maharashtrawadi Gomantak Party,Political party of India
Q6733614,Mahaz-e Milli,Political party and former militant group in Afghanistan
Q6736368,Maine Green Independent Party,Maine affiliate of the Green Party
Q6736426,Maine Republican Party,Maine affiliate of the Republican Party
Q6741939,Malaysian Australian,
Q6742050,1982 Malaysian general election,
Q6744995,Jammu and Kashmir National Panthers Party,Political party of India
Q6747401,"Manchester Exchange by-election, 1973",
Q6750189,1920 Manitoba general election,
Q6785153,Master of Arts in Teaching,type of master's degree in education
Q6785201,Master of International Affairs,
Q6785242,Master of Sacred Theology,academic qualification
Q6785254,Master of Science in Nursing,
Q6785263,Master of Surgery,academic qualification
Q6785268,Master of Theological Studies,
Q6797876,Mayordomo mayor of the King of Spain,High Steward of Spain
Q6817473,mental health professional,health care practitioner or community services provider
Q6823854,Methodist local preacher,
Q6841035,1955 Mid Ulster by-election,
Q6851928,Militant Socialist Movement,political party in Mauritius
Q6852061,Military Intelligence Division,
Q6869278,vocational education,studies that prepares a person for a specific occupation
Q6879148,Mississippi Freedom Democratic Party,Branch of Freedom Democratic party during 1960s Civil Rights Movement
Q6879488,Missouri Attorney General,attorney general for the U.S. state of Missouri
Q6881052,"Mitcham state by-election, 1982",South Australian by-election
Q6899665,Mongolian Social Democratic Party,"political party (1990–2000, 2004–present)"
Q6908412,Moorish Orthodox Church of America,religious movement in the United States
Q6925156,Mountain Party,West Virginia political party
Q6935055,Multiracial American,ethnic group
Q6936269,Municipal Reform Party,defunct English political party
Q6972204,National Democratic Alliance,political party in Malawi
Q6972227,National Democratic Party,political party in the Cayman Islands
Q6972234,National Democratic Party,Iraqi political party (2003)
Q6972795,National Freedom Party,political party in South Africa
Q6973492,National Independence Party of Afghanistan,
Q6974098,National Liberal Party,"political party in the UK, 1922-1923"
Q6974797,National Party,political party in Peru
Q6974799,National Party,political party in the Solomon Islands
Q6974802,National Party,political party in the United States
Q6974817,National Party of Liberia,political party
Q6974818,National Party of Nigeria,Nigerian political party
Q6978037,National Republican Convention,Nigerian political party
Q6979078,National Union,
Q6979766,National Change Union,Guatemalan political party
Q6979769,Nationalist Citizens' Party,
Q6979788,Nationalist Party,political party in Northern Ireland
Q6979793,Nationalist Party of Greater Vietnam,"political party from Vietnam, active in exile"
Q6982887,Nawashi,person who ties in Japanese rope bondage
Q7006885,New Democratic Front,political party in Sri Lanka
Q7015011,1881 New York state election,
Q7015278,New Zealand Conservative Party,short-lived party in New Zealand (1994–1996)
Q7016132,1938 New Zealand general election,
Q7024442,Nicaraguan Democratic Force,
Q7033049,1983 Nigerian presidential election,
Q7044917,No Rodeo,former South Australian political party (2006)
Q7048763,Non-Hispanic Whites,classification defined by the US Census Bureau
Q7048877,non-consultant hospital doctor,medical professional grade in the Republic of Ireland
Q7058298,2005 Northern Cyprus presidential election,
Q7058474,2011 Northern Ireland Assembly election,
Q7060217,Northwest Territories Liberal Party,
Q7061669,1979 Norwood state by-election,South Australian by-election
Q7075083,Objectivist Party,
Q7076329,Internet Party of Ukraine,
Q7077856,2009 Odisha Legislative Assembly election,
Q7082044,2010 Okinawa gubernatorial election,
Q7120023,PORC,Wikimedia disambiguation page
Q7125639,Pakistan Muslim League (Jinnah),
Q7125640,Pakistan Muslim League (J),political party in Pakistan
Q7129609,Caucasian,grouping of human beings
Q7140550,Partido Socialista,Wikimedia disambiguation page
Q7141085,Party of Hungarian Life,Hungarian political party
Q7141094,Party of Labour of Catalonia,"communist party in Catalonia, Spain"
Q7144826,Pathologist,Czech grindcore band
Q7161789,Pelucones,name used to refer to Chilean aristocratic conservatives in early 19th century
Q7163537,"Pennsylvania's 12th congressional district special election, 2010",
Q7165519,People's Democratic Front,"political party in Hyderabad, India"
Q7165671,People's Party,Political party in Papua New Guinea
Q7165702,People's Political Party,
Q7165913,People Power,
Q7185043,Philippine Executive Commission,
Q7187659,PhotoModeler,stereophotogrammetry software
Q7193351,Pigeon sport,
Q7209573,police captain,
Q7209875,Polish Australian,ethnic group
Q7216494,First Kingdom of Kakheti,medieval Georgian kingdom
Q7231714,Starosta,Slavic title for an official or unofficial position of leadership
Q7233501,Elder,Wikimedia disambiguation page
Q7239800,prefect,Romanian government office
Q7246931,Probinsya Muna Development Initiative,Political party in the Philippines
Q7248514,Progresista Party,
Q7248619,Progressive Agricultural Democratic Union,
Q7248757,Progressive Labour Movement,
Q7248782,Progressive Party,political party in the Philippines
Q7248821,Progressive Union of the Centrist Center,political party
Q7248831,Progressive Youth Organization,former left-wing party in Afghanistan
Q7250445,Propst,Wikimedia disambiguation page
Q7262240,Puthiya Tamilagam,political party in India
Q7270392,Queen Emma Party,
Q7280361,radiation oncologist,doctor specializing in radiation therapy to treat cancer
Q7287097,Rally of Congolese Democrats and Nationalists,political party in the Democratic Republic of the Congo
Q7295014,Rashtriya Parivartan Dal,political party in India
Q7307461,Reformed Christian Church in Slovakia,
Q7314647,Republican Party of India (A),splinter group of the Republican Party of India
Q7314702,Republican Socialist Party,former political party in Belgium
Q7315443,resident magistrate,person transplanted to a British colony as a local magistrate
Q7318795,Revolutionary Independent Labour Movement,
Q7333478,Right Alliance,Polish political party
Q7356565,Rodeo clown,
Q7361042,Roller Skater,roller coaster
Q7371595,Route setter,someone who designs artifical rock climbing wall routes or problems
Q7380901,Rusia,village in Poland
Q7382021,Russian Chinese,Wikimedia disambiguation page
Q7395141,SWAPO Democrats,
Q7409418,Samia tribe,samia speaking
Q7409951,Samoan United Independents Political Party,
Q7409968,2001 Samoan general election,
Q7429947,Scandinavian Brazilian,
Q7432668,Schoolgirl,Wikimedia disambiguation page
Q7439216,script analyst,person who reads a film script to determine the material’s desirable and undesirable characteristics as relates to story and film production
Q7444419,Secretary of the Government,
Q7445233,"Sedgefield by-election, 2007",
Q7449024,Semangat 46,
Q7450670,senior counsel,senior lawyer in some Commonwealth countries
Q7452954,September–October 2002 Serbian presidential election,
Q7482056,Irish traditional music,genre of folk music that developed in Ireland
Q7485854,Yarsanism,religion founded by Sultan Sahak in the late 14th century
Q7492646,2004 Sheffield City Council election,
Q7501398,1958 Shoreditch and Finsbury by-election,by-election held in 1958
Q7533398,Sizar,Type of student in Dublin and Cambridge
Q7550516,Social Democracy of America,
Q7550550,Social Democratic Party,political party in the Central African Republic
Q7551635,Socialist Party,political party in Iran in the 1920s and in the 1940s
Q7551654,Socialist Party of Alberta,"defunct socialist party in Alberta, Canada"
Q7551711,Socialist Party of Thailand,Defunct political party in Thailand
Q7551718,Socialist Party of Yugoslavia,
Q7551801,Socialist Workers' Party,political party in Argentina
Q7557783,solicitor advocate,type of solicitor in England and Wales or in Scotland or Northern Ireland
Q7560886,Sonderbeauftragter,Nazi Party political position
Q7565997,2000 South Antrim by-election,
Q7566201,1973 South Australian state election,South Australian general election held in 1973
Q7566205,1982 South Australian state election,South Australian general election
Q7566208,1989 South Australian state election,South Australian general election
Q7567073,1986 South Down by-election,
Q7569540,1980 Southend East by-election,
Q7571154,1927 Southwark North by-election,
Q7584249,,
Q7586121,1988 Sri Lankan presidential election,Presidential election in Sri Lanka in 1988
Q7586122,1994 Sri Lankan presidential election,
Q7593416,1937 St Ives by-election,
Q7603902,state treasurer,executive officer of a U.S. state
Q7618097,Stockjobber,Former occupation
Q7620399,story editor,
Q7646178,Surgeon-General of the British Armed Forces,
Q7658473,swineherd,"person who tends, feeds, or guards herds of pigs"
Q7663293,1971 Syrian presidential election,
Q7663860,systems architect,profession in information and communications technology
Q7675547,Tahiti and Society Islands mythology,
Q7687468,2009 Tasmanian Legislative Council periodic election,
Q7690301,Tayo,political party in Somalia
Q7690742,Te Aitanga-a-Māhaki,Māori iwi (tribe) in Aotearoa New Zealand
Q7691151,Teach,Wikimedia disambiguation page
Q7692317,technical advisor,professional title
Q7707623,Texas Democratic Party,political party in U.S. state of Texas
Q7710757,Tharawal,indigenous group of Australia
Q7799383,1976 Thurrock by-election,
Q7813224,2003 Togolese presidential election,
Q7826175,Toro sub-region,
Q7827035,1994 Torrens state by-election,South Australian by-election
Q7830082,Town supervisor,
Q7835189,transit district,government organisation which coordinates the public transport within its area
Q7840307,Tribal Leadership,book by Dave Logan
Q7848044,1987 Truro by-election,
Q7855501,Turks in Denmark,
Q7878637,Ukwuani people,
Q7879973,Ulster Independence Movement,
Q7886492,Union leader,Wikimedia disambiguation page
Q7887469,1965 United Arab Republic presidential confirmation referendum,
Q7888207,United Labour Party,political party of New Zealand
Q7889322,ambassador of United States to South Korea,
Q7889327,United States Ambassador to Lesotho,
Q7889339,United States Ambassador to Mexico,United States ambassador to Mexico
Q7891871,2012 United States Senate election in North Dakota,
Q7892162,April 1800 United States Senate special election in New York,
Q7894900,University Professorship,academic title in the University of California system
Q7895137,University of British Columbia,Wikimedia disambiguation page
Q7898993,1965 Upper Voltan presidential election,
Q7901813,Usenet celebrity,Internet celebrity notable for Usenet posting
Q7903781,Uwaisi,Islamic Sufi Order
Q7924308,ViEWER,software to create virtual displays
Q7933496,Viplavakari Lanka Sama Samaja Party,
Q7966638,1967 Walthamstow West by-election,
Q7966644,1897 Walthamstow by-election,
Q7980945,Welfare Party of India,political party in India
Q7984267,West African Youth League,formation of West Africa youth league
Q7989120,1924 Westminster Abbey by-election,
Q7989387,1969 Weston-super-Mare by-election,UK Parliamentary by-election
Q7994447,White Australians,ethnic group
Q7994663,White Earth Band of Ojibwe,
Q7994871,White House Deputy Chief of Staff,The top aide to the White House Chief of Staff
Q8001342,wildlife biologist,occupation
Q8001493,Wildrose Party of Alberta,organization
Q8024771,Windstream Communications,
Q8058026,Young Communist League,Communist youth organization in Britain
Q8058167,Young Guard of United Russia,Russian youth movement.
Q8072022,Zimbabwe Unity Movement,
Q8138141,Castellans of the Polish–Lithuanian Commonwealth,lower rank official
Q8178443,librettist,author of the libretto (words) of an opera or a similar extended musical composition
Q8186931,,
Q8196661,Green Alternative–Ecologist Movement of Catalonia,
Q8344284,Certificado de Aptitud Pedagógica,
Q8350052,,
Q8246794,blogger,person who writes or records a blog
Q8563990,2002 Florida gubernatorial election,election
Q8770091,,
Q8962888,,
Q9008257,arsonist,person committing arson
Q9033737,Guanche mythology,
Q9054167,Democratic Agreement for Catalonia,
Q9056324,,
Q9056455,Socialist Party of Catalonia-Regroupment,Defunct political party in Catalonia
Q9067274,Abridgement,
Q9085704,Parti Bersatu Rakyat Sabah,Political party of Malaysia
Q9085854,tenant-in-chief,"medieval lord holding an unseizeable real right on a part of his domain exploited by his vassal subjects, to whom he granted a limited concession for occupying or using it, against a servitude and often a share of its usufruct"
Q9091494,Unitat Nacional Catalana,political party
Q9091698,Centre Union of Catalonia,political party
Q9160295,Arretium,human settlement in Italy
Q9161265,soil science,study of soil as a natural resource on the surface of the earth
Q9170514,,
Q9192182,Radical Peasant Party,political party in Poland
Q9200127,member,individual or organization with membership in a group; constitutive components of a corporate body
Q9207883,,
Q9282801,Gustavians,
Q9326077,speculative fiction,"literary and cinematic genre that includes science fiction, horror, fantasy and alternate history"
Q9333267,,
Q9346764,,
Q9360140,thoracic surgeon,
Q9379028,,
Q9385011,neurosurgeon,surgical discipline; profession
Q9391428,United People's Progressive Party,political party in Bulgaria
Q9392355,Związek Młodych Demokratów,
Q9392410,,
Q9637857,,
Q9867473,The Assassin,1967 film by Chang Cheh
Q10233675,Samba-enredo interpreter,Wikimedia category
Q10265290,Brazilian state deputy,member of a Brazilian federal state Legislative Assembly
Q10284314,Força de Unidade Popular,Portuguese political party
Q10295972,Hunnic Empire,Turkish First Age empire in Eurasia
Q10328120,Mediador,Wikimedia disambiguation page
Q10331372,,
Q10332811,,
Q10341785,,
Q10345639,,
Q10346040,,
Q10354266,Physical Education Professional,profession
Q10385084,spanish paratrooper,
Q10385895,nursing technician,
Q10397180,,
Q10416611,Vandal Kingdom,Germanic Kingdom (435-534)
Q10452632,Church of Christ,
Q10493173,,
Q10493175,,
Q10494861,Independent Fianna Fáil,
Q10497448,,
Q10497467,school teacher in the Swedish school system,
Q10499253,,
Q10499604,,
Q10514696,executive chef,cook with management responsibility
Q10534955,Indian National Lok Dal,political party in India
Q10541511,,
Q10547393,local politician,"politician involved in local, as opposed to national, government"
Q10547536,,
Q10566551,safety,"state of being secure from harm, injury, danger, or other non-desirable outcomes"
Q10568847,Logistician,Profession in logistics
Q10605056,,
Q10611691,ornamental sculptor,
Q10631611,maid,young girl or woman working in her employer's household or agriculture
Q10639464,Named Professor,word 'Professor' when used as an honorific or title; may imply actual professorship or not
Q10659189,robber,person carrying out robberies
Q10669482,minister of the Navy,
Q10685598,Svenska socialistiska partiet,Swedish nazi party 1943-1948
Q10709550,,
Q10714990,varatuomari,Finnish legal title
Q10718652,,
Q10750660,,
Q10771904,,
Q10798702,,
Q10800511,Vietnamese Canadians,Canadians of Vietnamese ancestry
Q10813665,Praporshchik,
Q10816969,club DJ,disc jockey that performs for a live audience
Q10845458,2011 Taiwanese by-election of township heads,
Q10855468,,Wikimedia disambiguation page
Q10855616,army surgeon,profession
Q10856065,Korea,"name of Korea, the main exonym for the peninsula"
Q10861921,Catedrático,Wikimedia disambiguation page
Q10872101,anatomist,scientist with a specialty in anatomy
Q10876441,,
Q10901338,action film actor,
Q10904250,Meeting Point,defunct Hong Kong political party
Q10915693,Poets from Taiwan,
Q10922707,Tangmi,
Q10945477,Sun Zaifeng,Qing dynasty person CBDB = 76021
Q10976443,Zabaltzen,Basque political party
Q11051391,envoy,"diplomatic rank, head of a legation"
Q11066261,bowyer,someone who makes bows
Q11081801,,Taiwanese political party
Q11091440,Sui,
Q11155601,Movement of Socialists,
Q11157534,India,"village in Transnistria, Moldova"
Q11165895,Geheimrat,officials at the courts of the Holy Roman Empire
Q11177426,,
Q11178782,Czechoslovak Republic,republic in Central/Eastern Europe between 1948 and 1960
Q11178881,Czechoslovak Traders' Party,
Q11243738,SM girl,
Q11279167,Reunification Democratic Party,
Q11298905,Crown Attorney,
Q11322489,scholar of German literature,
Q11336353,hair and make up artist,
Q11358512,,
Q11381187,Affiliate,
Q11392204,,
Q11397968,deputy mayor,a person appointed to assist a mayor of a Japanese municipality
Q11399906,,
Q11419029,Good News Mission,church in Worldwide
Q11442374,Tendai-zasu,"Head priest of Enryaku-ji temple, Japan"
Q11481709,,
Q11497233,,
Q11497341,engineer,
Q11497342,Technical Official,
Q11498168,,
Q11500768,cooking expert,person who writes about cooking
Q11509143,,Wikimedia list article
Q11514951,,
Q11515703,Justice of the Supreme Court of Japan,List
Q11523090,Murayama Shugen,
Q11545923,military commander,person commanding a military force
Q11578735,banshō,
Q11588308,Certified Social Worker,
Q11598573,keirin cyclist,
Q11602445,quaternary geology,
Q11606222,,
Q11606480,economic pundit,
Q11606860,picture book writer,
Q11610636,,
Q11610849,hijiri,
Q11612923,Liberal Party,Japanese political party (1890–1898)
Q11613014,Self-Defense Official,"service personnel of the Japan Self-Defense Forces (JSDF), including enlisted personnel, non-commissioned officers (NCO) and commissioned officers"
Q11614001,funadon'ya,cargo vessel wholesaler
Q11615922,,
Q11625076,,
Q11630517,tourism scholar,
Q11657041,,
Q11658712,army soldier,
Q11667198,,
Q11682235,game warden,
Q11691296,,
Q11693816,Communist Movement of the Valencian Country,
Q11698175,Nationalist Partit Republicà d'ERC,Political party Spanish founded in October 1933 about the group called L'Opinio.
Q11702145,Raphaël,male given name
Q11704115,,
Q11704729,tribune of the plebs,ancient Roman title
Q11704906,,
Q11704917,Unión Regional de Derechas,
Q11712544,,
Q11740471,,
Q11742330,,
Q11744720,,
Q11781549,Minnesänger,medieval profession; musician in the  Middle High German period who wrote and performed Minnesang; singer of love songs
Q11792792,None,Polish nu metal band
Q11793553,,
Q11813060,Liepāja Party,
Q11813077,,
Q11824104,,
Q11835773,,
Q11859149,,Finnish religious denomination
Q11873342,,
Q11915342,,
Q11916430,,
Q11918765,,
Q11919805,Escriptor,Wikimedia disambiguation page
Q11921517,Spanish Falange of the JONS (Auténtica),
Q11940291,Jammu and Kashmir Democratic Freedom Party,
Q11945684,,
Q11956961,lawyer with the right to appear before the Norwegian Supreme Court,
Q11965829,,
Q11965832,doctor rerum politicarum,University degree in Norway
Q11966252,,
Q11969027,,
Q11980763,,
Q11993231,Norwegian public servant,"defined within a national Norwegian context, this type of official is employed by the state at a lower level of government"
Q11995943,,
Q11996288,,
Q11997333,,
Q12003277,scholarship holder,
Q12020375,,Wikimedia disambiguation page
Q12036003,,
Q12040604,,
Q12056513,Party of Conservative Accord,
Q12056589,,
Q12119633,,
Q12150341,Samanid Empire,empire in Iran
Q12163918,,
Q12165858,,
Q12183875,Sharifian Empire,Morocco
Q12186383,,Wikimedia disambiguation page
Q12192918,Social Democratic Path,Tunisian political party
Q12199716,,
Q12207673,,
Q12211529,Middle Eastern studies,academic discipline
Q12229609,غضب الوالدين,1952 film by Hassan al-Imam
Q12299841,cricketer,individual who takes part in cricket matches
Q12302215,,
Q12305123,,
Q12305624,,
Q12306755,cum laude,type of Latin honor
Q12311053,,
Q12324373,Liberalt Centrum,
Q12326565,dairy worker,person working at a dairy
Q12328016,mystic,occupation
Q12328450,nature guide,
Q12331017,Aruban Patriotic Party,
Q12332079,,
Q12336357,,
Q12344026,ballad singer,singer specialized in the Scandinavian ballad genre
Q12361252,,
Q12361449,Estonian Socialist Revolutionary Party,political party in Estonia during the early 20th century
Q12364669,Patriotic League (Estonia),
Q12368980,nature photographer,profession
Q12370538,soil scientist,earth scientist who studies soil
Q12377274,trumpeter,musician who plays the trumpet
Q12378010,clergyman,
Q12545508,,
Q12551769,Azerbaijani Democratic Party,
Q12583545,Governor of Gyeonggi Province,
Q12642162,Northern Paiute,Native American tribe in eastern California
Q12722794,,
Q12737090,,
Q12737590,National Liberal Party-Democratic Convention,
Q12771711,Military,Wikimedia disambiguation page
Q12772227,,
Q12773225,enslaved person,person in a state of slavery
Q12773840,Philosophiae doctor,Wikimedia disambiguation page
Q12786593,,
Q12799254,Democratic Party of Pensioners of Slovenia parliamentary group,Slovenian parliamentary group
Q12836773,,
Q12839983,,
Q12876076,Democratic Party of Working People,
Q12876078,,
Q12912932,mufassir,"author of tafsir (explanations or interpretations of religious texts, usually the Qur'an)"
Q12950813,فلسطين.,country-code top-level domain designated for two-letter country code PS
Q12957007,puzzle designer,someone who invents riddles
